query_id,cost_ratio,detour_m,diverge_lat,diverge_lon,progress_fraction,straight_line_km
6,1.007215,93.330000,37.745638,-122.419940,0.476277,11.187622
8,1.000652,4.130000,37.798275,-122.425629,0.004202,5.516602
11,1.001663,21.010000,37.718628,-122.426363,0.111283,9.556243
13,1.000184,0.630000,37.721600,-122.465390,0.962617,2.851600
15,1.001360,8.180000,37.745682,-122.452355,0.282738,5.114815
23,1.000229,1.460000,37.739830,-122.424058,0.433460,5.747043
25,1.000603,2.100000,37.763371,-122.403387,0.712230,3.203657
26,1.000187,2.020000,37.734823,-122.471563,0.727619,8.608941
28,1.009084,60.030000,37.765807,-122.433266,0.623616,5.954792
42,1.000502,2.820000,37.722942,-122.444808,0.662835,4.816096
43,1.009551,91.750000,37.788374,-122.400429,0.001821,8.035798
44,1.000189,2.150000,37.769969,-122.425908,0.263889,9.377495
46,1.000274,1.630000,37.781685,-122.492303,0.191011,5.459490
48,1.005120,45.530000,37.776939,-122.429601,0.105516,7.966418
49,1.000151,1.460000,37.739830,-122.424058,0.581509,8.525090
52,1.012897,103.770000,37.778832,-122.414889,0.623786,6.299174
53,1.001338,4.130000,37.745682,-122.452355,0.331325,2.758801
57,1.001381,9.430000,37.765351,-122.457929,0.689781,6.281371
59,1.001642,7.130000,37.765280,-122.445995,0.641892,2.935381
61,1.000799,6.980000,37.756153,-122.477702,0.984536,6.448496
62,1.001560,8.120000,37.709557,-122.457638,0.142857,5.080640
64,1.002498,29.400000,37.722813,-122.401728,0.181435,9.910749
70,1.008154,25.650000,37.748787,-122.473001,0.292308,2.604244
71,1.001352,9.170000,37.788091,-122.440331,0.422794,5.215438
74,1.000609,2.250000,37.766385,-122.397752,0.937500,3.136169
76,1.000223,2.310000,37.710175,-122.456920,0.277778,9.341559
77,1.007610,31.810000,37.721584,-122.438593,0.358974,3.823391
80,1.000851,1.790000,37.784484,-122.432959,0.029703,1.737167
83,1.000895,4.030000,37.742953,-122.455253,0.242915,3.689222
84,1.000877,8.480000,37.760364,-122.410968,0.956416,7.790415
85,1.000505,7.680000,37.728703,-122.373148,0.037992,12.065483
87,1.034720,245.440000,37.788474,-122.402436,0.032573,6.878836
89,1.000273,3.430000,37.721220,-122.474651,0.936791,10.968877
95,1.001373,10.190000,37.748463,-122.410581,0.454861,6.351189
97,1.000355,3.280000,37.764387,-122.435364,0.180723,7.430613
99,1.013756,160.360000,37.723979,-122.456539,0.207972,9.291356
101,1.002058,15.820000,37.765280,-122.445995,0.545902,5.798674
104,1.003354,30.100000,37.732550,-122.474917,0.785024,7.233965
105,1.000588,3.440000,37.721752,-122.472443,0.011869,4.629033
112,1.000625,5.970000,37.748184,-122.415028,0.048673,7.812616
114,1.002994,23.740000,37.781685,-122.492303,0.166189,7.393053
115,1.004246,52.750000,37.739843,-122.424164,0.439114,10.928129
120,1.001994,15.450000,37.778380,-122.418233,0.283668,6.495532
121,1.000436,4.710000,37.742953,-122.455253,0.524851,9.340438
123,1.000274,2.820000,37.722942,-122.444808,0.851528,8.680336
124,1.000794,5.760000,37.798750,-122.444324,0.134615,6.676636
125,1.000798,5.640000,37.743839,-122.424476,0.192547,6.009569
126,1.013246,53.890000,37.778271,-122.482471,0.006667,3.763363
129,1.000167,1.850000,37.740653,-122.424158,0.530337,9.494966
132,1.002615,11.410000,37.799408,-122.447368,0.917258,2.936913
133,1.000168,0.960000,37.793351,-122.441524,0.300353,4.434813
136,1.000505,3.950000,37.774679,-122.389950,0.328571,7.053862
137,1.020582,195.510000,37.740653,-122.424158,0.287918,8.552128
140,1.001831,21.960000,37.743839,-122.424476,0.305263,10.041095
143,1.000557,5.810000,37.761848,-122.471547,0.849206,7.942045
148,1.000182,0.840000,37.766136,-122.430754,0.371681,4.488644
152,1.012671,61.860000,37.734210,-122.488913,0.389513,3.928359
154,1.005274,33.610000,37.764557,-122.457764,0.566456,4.845427
159,1.012979,160.440000,37.772677,-122.484215,0.915563,10.091623
161,1.001720,9.430000,37.765351,-122.457929,0.786408,4.876888
163,1.000996,12.050000,37.765280,-122.445995,0.569087,9.566856
164,1.001554,14.040000,37.766571,-122.459711,0.689840,7.149335
169,1.000445,4.190000,37.723627,-122.437380,0.912371,8.540271
174,1.000327,1.740000,37.769969,-122.425908,0.668033,4.602230
175,1.000254,1.340000,37.770410,-122.436936,0.767790,4.128949
177,1.000855,7.270000,37.748463,-122.410581,0.600567,7.523229
181,1.003248,9.520000,37.777115,-122.443339,0.613636,2.822352
182,1.000226,1.260000,37.734874,-122.439922,0.215094,4.633264
186,1.014372,67.990000,37.785705,-122.459061,0.229947,4.082905
188,1.001763,16.350000,37.778473,-122.418391,0.750643,7.297840
190,1.002091,29.220000,37.761868,-122.446837,0.541436,10.755929
191,1.001044,9.700000,37.780496,-122.451888,0.564356,7.746121
197,1.002022,12.050000,37.765280,-122.445995,0.238806,5.168591
200,1.005976,58.650000,37.803082,-122.418161,0.016878,8.738940
208,1.001628,7.610000,37.760325,-122.391415,0.311966,3.978895
209,1.000630,4.240000,37.732550,-122.474917,0.589404,5.766537
212,1.002973,28.950000,37.761728,-122.449152,0.625243,7.485624
214,1.000274,2.710000,37.763333,-122.480352,0.817143,7.159033
216,1.002466,11.570000,37.759841,-122.476900,0.703196,3.667052
220,1.000786,9.230000,37.732688,-122.476186,0.725758,10.295204
222,1.001281,11.590000,37.749035,-122.431529,0.624521,7.500674
224,1.000770,4.860000,37.745682,-122.452355,0.184019,4.967839
230,1.001821,13.710000,37.738674,-122.491532,0.480000,5.976313
236,1.000521,3.100000,37.769969,-122.425908,0.267030,4.741329
237,1.000826,8.120000,37.709557,-122.457638,0.215385,8.775573
238,1.007519,63.460000,37.719109,-122.384582,0.003077,6.715462
245,1.000693,6.700000,37.793534,-122.441561,0.912580,7.524766
253,1.000835,7.350000,37.738674,-122.491532,0.859060,7.295542
