query_id,cost_ratio,detour_m,diverge_lat,diverge_lon,progress_fraction,straight_line_km
600,1.003424,28.030000,37.778612,-122.447213,0.571429,6.067395
602,1.004409,31.040000,37.700525,-122.479902,0.002439,5.176756
603,1.000736,5.970000,37.774679,-122.389950,0.389791,7.586855
604,1.029618,361.090000,37.710469,-122.404435,0.108992,9.404370
605,1.000847,10.270000,37.746239,-122.461799,0.806527,8.211504
606,1.018792,65.840000,37.780822,-122.467509,0.523810,2.613875
607,1.001438,11.570000,37.780496,-122.451888,0.965753,6.300501
610,1.062347,710.140000,37.775098,-122.419253,0.196610,10.491785
611,1.007760,67.210000,37.748221,-122.431685,0.173913,7.293194
612,1.002407,21.170000,37.743693,-122.464046,0.346253,7.636094
614,1.010594,77.350000,37.786873,-122.460422,0.474453,5.108755
615,1.003010,23.040000,37.713847,-122.443311,0.945687,7.196314
617,1.001300,11.250000,37.765280,-122.445995,0.584270,6.670966
618,1.035670,135.140000,37.775408,-122.419214,0.474860,3.555672
619,1.059494,553.900000,37.734606,-122.445453,0.023407,7.700949
620,1.000254,3.280000,37.780290,-122.477243,0.033871,9.495883
621,1.001529,12.410000,37.775232,-122.508043,0.008658,6.633470
622,1.010817,90.050000,37.724999,-122.484765,0.466951,7.014424
625,1.002869,28.900000,37.734254,-122.456395,0.422705,8.242034
626,1.004156,7.180000,37.729562,-122.486668,0.380165,1.237243
627,1.024857,203.110000,37.715101,-122.432298,0.241379,6.136698
628,1.003658,43.420000,37.743059,-122.435582,0.202128,8.815103
629,1.002130,18.370000,37.745154,-122.429216,0.744283,6.723356
630,1.003779,40.310000,37.781769,-122.422181,0.417515,7.948127
631,1.000456,5.240000,37.765459,-122.477167,0.285223,8.874363
632,1.000507,1.140000,37.767400,-122.433420,0.875000,1.685444
634,1.018555,178.130000,37.723817,-122.436309,0.513784,8.078274
635,1.014343,101.490000,37.747159,-122.410501,0.378007,6.182772
636,1.000126,0.560000,37.734874,-122.439922,0.800676,2.966118
637,1.000992,6.320000,37.738591,-122.494283,0.224561,5.230754
638,1.006628,56.460000,37.731491,-122.455109,0.091981,6.786084
639,1.000458,1.880000,37.763761,-122.433635,0.795238,3.475224
640,1.000248,0.180000,37.748216,-122.465098,0.785714,0.527673
641,1.002055,10.810000,37.769357,-122.426506,0.279503,4.451853
642,1.003495,40.490000,37.789420,-122.437330,0.002288,6.552421
643,1.003027,21.590000,37.765435,-122.452893,0.179811,5.315183
644,1.053847,319.140000,37.775268,-122.419394,0.339223,5.201207
645,1.009619,68.070000,37.732888,-122.404856,0.247458,6.374132
646,1.003105,19.030000,37.740117,-122.468223,0.726496,5.349654
648,1.001166,2.360000,37.755973,-122.436770,0.823529,1.834121
650,1.010054,88.840000,37.777026,-122.455234,0.650718,6.566566
651,1.001958,14.930000,37.745682,-122.452355,0.296296,5.978711
652,1.000718,7.610000,37.771127,-122.424435,0.230315,8.864902
653,1.000506,7.320000,37.773310,-122.467958,0.827471,10.885519
654,1.004538,37.600000,37.781680,-122.422276,0.558266,6.476408
655,1.006093,34.820000,37.733709,-122.393972,0.003876,4.577582
656,1.001348,3.210000,37.764505,-122.428699,0.798319,2.210685
657,1.009136,73.040000,37.732888,-122.404856,0.042667,7.325704
658,1.003532,19.090000,37.730548,-122.460630,0.009646,3.671941
659,1.022407,144.470000,37.761150,-122.446455,0.229560,4.394766
660,1.016385,91.960000,37.739802,-122.409666,0.412281,4.153647
661,1.001858,6.480000,37.782350,-122.410175,0.430657,2.936535
662,1.016904,135.970000,37.717214,-122.441650,0.062500,5.154835
663,1.000596,5.420000,37.775730,-122.495184,0.010230,8.074157
664,1.002717,10.560000,37.760889,-122.495845,0.916667,3.656154
665,1.000569,5.890000,37.745352,-122.437947,0.597194,7.064973
666,1.004281,25.060000,37.740531,-122.456795,0.669251,4.592798
667,1.006746,32.030000,37.755177,-122.423067,0.063927,3.962079
668,1.033870,236.080000,37.723753,-122.435528,0.541796,6.132730
669,1.018462,78.060000,37.733845,-122.434970,0.443878,3.323189
672,1.008772,84.640000,37.712066,-122.463976,0.001684,7.563706
673,1.001118,5.870000,37.748496,-122.408694,0.039474,4.463289
676,1.005045,46.330000,37.746340,-122.461801,0.653484,7.085807
677,1.003448,29.750000,37.765973,-122.464229,0.176119,8.035743
