rank,node_id,betweenness,lat,lon,pct_of_total
103,24413,4947.930000,37.755079,-122.440454,0.020182
104,10960,4947.758000,37.754593,-122.440848,0.020181
105,16898,4947.448000,37.754404,-122.440948,0.020180
106,52214,4947.390000,37.755045,-122.440478,0.020180
107,10973,4947.102000,37.754677,-122.440724,0.020179
108,5722,4929.006000,37.751556,-122.442747,0.020105
109,52216,4928.622000,37.752313,-122.442521,0.020103
110,19659,4928.432000,37.752152,-122.442487,0.020102
111,10967,4928.380000,37.752069,-122.442476,0.020102
112,7015,4928.370000,37.750772,-122.442796,0.020102
113,19660,4928.328000,37.751980,-122.442473,0.020102
114,10968,4928.278000,37.751880,-122.442492,0.020102
115,19661,4928.232000,37.751781,-122.442527,0.020102
116,19662,4928.190000,37.751706,-122.442570,0.020101
117,10969,4928.152000,37.751639,-122.442637,0.020101
118,18412,4927.808000,37.751507,-122.442795,0.020100
119,19666,4927.774000,37.750704,-122.442784,0.020100
120,52217,4927.734000,37.750674,-122.442776,0.020100
121,19663,4927.724000,37.751450,-122.442822,0.020100
122,19664,4927.694000,37.750619,-122.442763,0.020099
123,10970,4927.688000,37.751386,-122.442838,0.020099
124,52224,4927.670000,37.750861,-122.442802,0.020099
125,71867,4927.670000,37.750851,-122.442801,0.020099
126,10971,4927.654000,37.750524,-122.442726,0.020099
127,52223,4927.652000,37.749267,-122.442604,0.020099
128,19665,4927.616000,37.750412,-122.442700,0.020099
129,52225,4914.650000,37.752452,-122.442546,0.020046
130,10961,4905.698000,37.754140,-122.441133,0.020010
131,16897,4905.284000,37.753236,-122.441983,0.020008
132,69069,4905.164000,37.754097,-122.441161,0.020008
133,52215,4904.632000,37.754074,-122.441177,0.020005
134,19658,4904.568000,37.752536,-122.442532,0.020005
135,19657,4904.552000,37.752599,-122.442503,0.020005
136,19655,4904.538000,37.752905,-122.442178,0.020005
137,19656,4904.536000,37.752669,-122.442433,0.020005
138,10964,4904.528000,37.752816,-122.442259,0.020005
139,10962,4904.104000,37.753880,-122.441307,0.020003
140,10963,4903.824000,37.753479,-122.441806,0.020002
141,176,4903.788000,37.753363,-122.441887,0.020002
142,10966,4901.026000,37.752395,-122.442539,0.019991
143,5159,4855.262000,37.757493,-122.437972,0.019804
144,15888,4851.403000,37.744558,-122.453347,0.019788
145,44187,4850.121000,37.745141,-122.452386,0.019783
146,44194,4849.781000,37.744623,-122.453251,0.019782
147,3178,4849.148000,37.755254,-122.439969,0.019779
148,24415,4849.008000,37.755227,-122.440055,0.019779
149,52213,4845.802000,37.755397,-122.439020,0.019765
150,3177,4845.448000,37.755320,-122.439647,0.019764
151,24414,4842.920000,37.755167,-122.440245,0.019754
152,10965,4837.628000,37.752468,-122.442548,0.019732
153,1733,4836.992000,37.759093,-122.438112,0.019730
154,49140,4823.470000,37.760617,-122.438280,0.019674
155,53208,4823.382000,37.760601,-122.438278,0.019674
156,60719,4823.304000,37.760084,-122.438221,0.019674
157,57922,4823.248000,37.759178,-122.438121,0.019673
158,57927,4818.726000,37.757435,-122.437965,0.019655
159,53210,4818.650000,37.757391,-122.437961,0.019655
160,60717,4818.588000,37.756943,-122.437914,0.019654
161,60718,4818.580000,37.756337,-122.437850,0.019654
162,57920,4749.256000,37.759023,-122.438106,0.019372
163,53209,4749.176000,37.759004,-122.438104,0.019371
164,60714,4749.102000,37.758423,-122.438053,0.019371
165,57923,4749.080000,37.757578,-122.437978,0.019371
166,30013,4746.108000,37.745603,-122.419891,0.019359
167,31523,4736.663000,37.744475,-122.453470,0.019320
168,19543,4736.375000,37.744420,-122.453556,0.019319
169,19542,4736.087000,37.744309,-122.453728,0.019318
170,19541,4735.801000,37.744193,-122.453895,0.019317
171,24516,4735.639000,37.744069,-122.454060,0.019316
172,16488,4547.938000,37.764240,-122.432960,0.018550
173,62004,4542.608000,37.744091,-122.420868,0.018529
174,30022,4542.566000,37.745558,-122.419920,0.018529
175,44133,4542.340000,37.744706,-122.420471,0.018528
176,50954,4542.326000,37.745216,-122.420141,0.018528
177,44093,4542.298000,37.744808,-122.420405,0.018527
178,5134,4521.966000,37.741030,-122.422848,0.018445
179,16489,4488.589000,37.762632,-122.435195,0.018308
180,5992,4486.684000,37.741763,-122.422374,0.018301
181,50942,4482.460000,37.741301,-122.422672,0.018283
182,50953,4482.164000,37.741198,-122.422739,0.018282
183,70174,4481.868000,37.741098,-122.422804,0.018281
184,32976,4467.210000,37.740648,-122.423095,0.018221
185,30023,4463.596000,37.739868,-122.423607,0.018206
186,32977,4462.940000,37.739955,-122.423550,0.018204
187,54822,4462.588000,37.739974,-122.423538,0.018202
188,71061,4462.256000,37.740084,-122.423462,0.018201
189,31150,4461.944000,37.740164,-122.423407,0.018200
190,71063,4461.644000,37.740294,-122.423323,0.018199
191,70173,4461.638000,37.740969,-122.422887,0.018198
192,66524,4461.394000,37.740580,-122.423139,0.018197
193,13370,4459.148000,37.742312,-122.422019,0.018188
194,66508,4452.798000,37.742414,-122.421953,0.018162
195,50984,4452.462000,37.742509,-122.421891,0.018161
196,32971,4452.138000,37.742614,-122.421824,0.018160
197,6579,4451.848000,37.742824,-122.421688,0.018159
198,50983,4451.830000,37.742647,-122.421802,0.018158
199,10162,4427.546000,37.742201,-122.422091,0.018059
200,61917,4423.254000,37.742185,-122.422100,0.018042
201,44135,4422.918000,37.742134,-122.422134,0.018041
202,44136,4422.584000,37.741969,-122.422240,0.018039
203,8983,4412.964000,37.742092,-122.455780,0.018000
204,9441,4408.874000,37.746782,-122.419129,0.017983
205,13371,4407.444000,37.746187,-122.419514,0.017977
206,71935,4406.970000,37.745708,-122.419824,0.017976
207,8980,4371.122000,37.740982,-122.457503,0.017829
208,51752,4362.524000,37.742021,-122.455833,0.017794
209,19532,4361.900000,37.741987,-122.455858,0.017792
210,29893,4361.276000,37.741883,-122.455950,0.017789
211,8982,4360.652000,37.741795,-122.456049,0.017787
212,8981,4360.030000,37.741700,-122.456179,0.017784
213,19531,4359.432000,37.741609,-122.456330,0.017782
214,71147,4318.208000,37.746714,-122.419173,0.017613
215,50982,4317.966000,37.746540,-122.419285,0.017612
216,29925,4308.011000,37.742953,-122.455253,0.017572
217,65900,4307.379000,37.742936,-122.455265,0.017569
218,51755,4306.747000,37.742905,-122.455288,0.017567
219,24574,4306.117000,37.742883,-122.455303,0.017564
220,8985,4305.533000,37.742768,-122.455379,0.017562
221,8984,4305.039000,37.742644,-122.455454,0.017560
222,33504,4304.593000,37.742502,-122.455540,0.017558
223,29860,4304.167000,37.742196,-122.455714,0.017556
224,3205,4287.251000,37.748925,-122.459693,0.017487
225,15603,4256.177000,37.759845,-122.476777,0.017360
226,37297,4250.102333,37.777545,-122.416362,0.017336
227,10700,4190.913000,37.764228,-122.433197,0.017094
228,3567,4173.205000,37.761931,-122.437323,0.017022
229,15573,4168.960000,37.722950,-122.444776,0.017005
230,26280,4151.537000,37.762631,-122.435341,0.016934
231,25563,4151.273000,37.762581,-122.435443,0.016933
232,44911,4151.163000,37.761949,-122.437247,0.016932
233,19692,4151.009000,37.762550,-122.435507,0.016931
234,49741,4150.841000,37.762000,-122.436969,0.016931
235,49745,4150.775000,37.762496,-122.435619,0.016931
236,49731,4150.669000,37.762047,-122.436714,0.016930
237,49751,4150.645000,37.762063,-122.436627,0.016930
238,49698,4150.621000,37.762081,-122.436545,0.016930
239,64000,4150.605000,37.762384,-122.435849,0.016930
240,49715,4150.601000,37.762104,-122.436464,0.016930
241,49753,4150.585000,37.762131,-122.436383,0.016930
242,49742,4150.569000,37.762161,-122.436302,0.016930
243,63998,4150.555000,37.762194,-122.436229,0.016930
244,49727,4150.543000,37.762231,-122.436157,0.016930
245,1305,4109.333000,37.739732,-122.409673,0.016761
246,5150,4101.183000,37.739613,-122.407656,0.016728
247,25388,4088.717000,37.739723,-122.409513,0.016677
248,66463,4087.309000,37.739726,-122.409572,0.016672
249,5149,4084.823000,37.739689,-122.408895,0.016662
250,50576,4082.317000,37.739666,-122.408511,0.016651
251,52422,4081.593000,37.739625,-122.407853,0.016648
252,18282,4071.715000,37.762777,-122.435087,0.016608
253,64748,4071.187000,37.762836,-122.434982,0.016606
254,53332,4070.663000,37.762867,-122.434928,0.016604
255,26326,4070.147000,37.762935,-122.434827,0.016602
256,38808,4069.639000,37.762998,-122.434733,0.016600
257,59615,4069.141000,37.763151,-122.434534,0.016598
258,24724,4068.711000,37.764038,-122.433424,0.016596
259,13733,4068.653000,37.763178,-122.434500,0.016596
260,48659,4068.461000,37.763920,-122.433572,0.016595
261,15893,4058.295000,37.739628,-122.465246,0.016553
262,26348,4054.851000,37.782207,-122.410356,0.016539
263,29908,4029.561000,37.739567,-122.465399,0.016436
264,19525,4029.211000,37.739494,-122.465565,0.016435
265,8950,4028.865000,37.739422,-122.465717,0.016433
266,29870,4028.671000,37.739344,-122.465865,0.016432
267,19522,4028.631000,37.739257,-122.466016,0.016432
268,55718,4028.595000,37.739218,-122.466078,0.016432
269,6803,4013.978000,37.735390,-122.424729,0.016373
270,16811,3984.589000,37.739579,-122.407048,0.016253
271,42016,3970.993000,37.739595,-122.407340,0.016197
272,47596,3970.477000,37.739588,-122.407217,0.016195
273,47927,3969.965000,37.739586,-122.407177,0.016193
274,1780,3892.394000,37.758546,-122.463797,0.015877
275,25981,3869.491000,37.734820,-122.471545,0.015783
276,8092,3802.488000,37.736006,-122.424495,0.015510
277,38489,3802.409000,37.777462,-122.416265,0.015510
278,4883,3787.516000,37.729598,-122.439003,0.015449
279,35867,3782.333667,37.765455,-122.477266,0.015428
280,25918,3777.606000,37.723876,-122.456141,0.015408
281,18930,3735.756000,37.764128,-122.433094,0.015238
282,30016,3708.310000,37.748119,-122.418268,0.015126
283,7106,3706.346000,37.723964,-122.456544,0.015118
284,15602,3696.321000,37.761654,-122.476973,0.015077
285,5185,3690.557000,37.765933,-122.431049,0.015053
286,8322,3677.858154,37.771338,-122.479558,0.015002
287,41127,3677.156000,37.748022,-122.418326,0.014999
288,44138,3676.664000,37.747791,-122.418477,0.014997
289,44336,3676.232000,37.747775,-122.418487,0.014995
290,44349,3675.800000,37.747768,-122.418492,0.014993
291,44137,3675.378000,37.747407,-122.418725,0.014991
292,44086,3674.972000,37.747209,-122.418849,0.014990
293,71145,3674.582000,37.746878,-122.419066,0.014988
294,38364,3663.039333,37.775316,-122.419192,0.014941
295,1781,3631.510000,37.758499,-122.464870,0.014812
296,57836,3602.584000,37.758541,-122.463915,0.014695
297,51759,3602.252000,37.758540,-122.463941,0.014693
298,51758,3601.922000,37.758530,-122.464174,0.014692
299,19311,3601.596000,37.758520,-122.464382,0.014690
300,61229,3601.274000,37.758505,-122.464728,0.014689
301,60751,3600.954000,37.758504,-122.464767,0.014688
302,3579,3584.907000,37.745556,-122.435776,0.014622
303,24445,3579.149000,37.751366,-122.461558,0.014599
304,51764,3579.083000,37.751266,-122.461457,0.014599
305,31324,3579.043000,37.751254,-122.461445,0.014598
306,22592,3579.007000,37.751098,-122.461305,0.014598
307,22597,3578.975000,37.750979,-122.461215,0.014598
308,24476,3578.943000,37.750861,-122.461144,0.014598
309,31939,3578.911000,37.750765,-122.461092,0.014598
310,5342,3578.879000,37.750744,-122.461081,0.014598
311,22598,3578.853000,37.750083,-122.460726,0.014598
