rank,node_id,betweenness,lat,lon,pct_of_total
118,25458,7707.382000,40.759580,-73.960860,0.042045
119,25457,7707.012000,40.759530,-73.960730,0.042043
120,16446,7706.642000,40.759483,-73.960606,0.042041
121,16429,7706.272000,40.754417,-73.948945,0.042039
122,20921,7705.902000,40.752976,-73.945668,0.042037
123,25484,7705.532000,40.752943,-73.945587,0.042035
124,18180,7705.162000,40.752908,-73.945519,0.042033
125,25485,7704.792000,40.752874,-73.945451,0.042031
126,20919,7704.422000,40.752799,-73.945324,0.042029
127,18181,7704.052000,40.752348,-73.944515,0.042027
128,25486,7703.682000,40.752301,-73.944425,0.042025
129,25487,7703.312000,40.752248,-73.944314,0.042023
130,25488,7702.942000,40.752196,-73.944193,0.042021
131,18182,7702.572000,40.751706,-73.943055,0.042019
132,25489,7702.202000,40.751676,-73.942988,0.042017
133,25490,7701.832000,40.751657,-73.942953,0.042015
134,22963,7701.462000,40.751634,-73.942922,0.042013
135,18183,7701.092000,40.751605,-73.942896,0.042011
136,25491,7700.722000,40.751576,-73.942877,0.042009
137,18184,7700.352000,40.751536,-73.942859,0.042007
138,22962,7699.982000,40.751488,-73.942845,0.042005
139,22959,7699.612000,40.751453,-73.942845,0.042003
140,18185,7699.242000,40.751415,-73.942853,0.042001
141,22960,7698.872000,40.751384,-73.942866,0.041999
142,22961,7698.502000,40.751345,-73.942891,0.041997
143,18186,7698.132000,40.751291,-73.942937,0.041995
144,15035,7697.762000,40.750807,-73.943396,0.041993
145,23129,7697.392000,40.750746,-73.943425,0.041991
146,25492,7697.022000,40.750721,-73.943447,0.041989
147,25493,7696.652000,40.750694,-73.943467,0.041987
148,25494,7696.282000,40.750656,-73.943483,0.041985
149,23130,7695.912000,40.750631,-73.943488,0.041983
150,25495,7695.542000,40.750588,-73.943489,0.041981
151,18199,7695.172000,40.750549,-73.943486,0.041979
152,25496,7694.802000,40.750502,-73.943478,0.041977
153,23131,7694.432000,40.750469,-73.943466,0.041975
154,18200,7694.062000,40.750436,-73.943447,0.041973
155,25497,7693.692000,40.750406,-73.943426,0.041971
156,18201,7693.322000,40.750374,-73.943398,0.041969
157,25498,7692.952000,40.750343,-73.943366,0.041967
158,25499,7692.582000,40.750306,-73.943314,0.041965
159,18202,7692.212000,40.750276,-73.943262,0.041963
160,51909,7691.842000,40.749858,-73.942476,0.041961
161,25500,7691.472000,40.749786,-73.942347,0.041959
162,15036,7691.102000,40.749731,-73.942258,0.041957
163,25501,7690.732000,40.749677,-73.942178,0.041955
164,25502,7690.362000,40.749607,-73.942084,0.041953
165,23135,7689.992000,40.749536,-73.941995,0.041951
166,25503,7689.622000,40.749471,-73.941921,0.041949
167,15037,7689.252000,40.749402,-73.941844,0.041947
168,25504,7688.882000,40.749332,-73.941775,0.041945
169,23134,7688.512000,40.749231,-73.941684,0.041943
170,25505,7688.142000,40.749161,-73.941627,0.041940
171,15038,7687.772000,40.749075,-73.941564,0.041938
172,25507,7687.402000,40.749002,-73.941514,0.041936
173,25506,7687.032000,40.748922,-73.941463,0.041934
174,15039,7686.662000,40.747849,-73.940794,0.041932
175,25508,7686.292000,40.747752,-73.940738,0.041930
176,25509,7685.922000,40.747652,-73.940687,0.041928
177,25510,7685.552000,40.747566,-73.940649,0.041926
178,23146,7685.182000,40.747478,-73.940610,0.041924
179,25511,7684.812000,40.747382,-73.940573,0.041922
180,25512,7684.600000,40.745850,-73.939976,0.041921
181,23393,7684.458000,40.746024,-73.940044,0.041920
182,23147,7684.442000,40.746780,-73.940337,0.041920
183,15033,7684.322000,40.746247,-73.940130,0.041920
184,27885,7339.540000,40.745486,-73.938757,0.040039
185,59379,7339.078000,40.745353,-73.938178,0.040036
186,7555,7338.640000,40.745274,-73.937833,0.040034
187,7543,7255.044000,40.745243,-73.937682,0.039578
188,1238,6552.816000,40.759317,-73.965308,0.035747
189,7081,6375.408000,40.744725,-73.933554,0.034779
190,58961,6103.962000,40.745225,-73.937586,0.033298
191,51804,6103.436000,40.745209,-73.937484,0.033296
192,7538,6102.912000,40.745182,-73.937263,0.033293
193,28710,6102.390000,40.745168,-73.937145,0.033290
194,66757,6101.870000,40.745151,-73.937000,0.033287
195,27212,6101.352000,40.745140,-73.936897,0.033284
196,31812,6100.854000,40.745086,-73.936447,0.033281
197,7139,6100.378000,40.745075,-73.936351,0.033279
198,58959,6099.930000,40.745066,-73.936271,0.033276
199,66754,6099.512000,40.745019,-73.935861,0.033274
200,58960,6099.098000,40.744979,-73.935509,0.033272
201,6931,6098.684000,40.744968,-73.935413,0.033270
202,64266,6098.272000,40.744881,-73.934655,0.033267
203,32242,6097.862000,40.744873,-73.934592,0.033265
204,7463,6097.452000,40.744863,-73.934503,0.033263
205,32241,6097.042000,40.744853,-73.934423,0.033261
206,64268,6096.632000,40.744847,-73.934379,0.033258
207,66756,6096.222000,40.744842,-73.934332,0.033256
208,66755,6095.812000,40.744821,-73.934150,0.033254
209,36552,6095.402000,40.744811,-73.934060,0.033252
210,25555,6094.992000,40.744770,-73.933717,0.033250
211,780,5914.303000,40.763113,-73.962515,0.032264
212,1053,5913.435000,40.763738,-73.962062,0.032259
213,45246,5906.025000,40.763169,-73.962474,0.032219
214,44579,5905.871000,40.763576,-73.962179,0.032218
215,62337,5905.717000,40.763687,-73.962099,0.032217
216,33995,5871.316000,40.759253,-73.965155,0.032029
217,103,5871.212000,40.758983,-73.964510,0.032029
218,27900,5871.158000,40.759138,-73.964877,0.032028
219,64485,5871.004000,40.759053,-73.964678,0.032028
220,62357,5870.854000,40.759006,-73.964566,0.032027
221,42635,5869.230000,40.759588,-73.964038,0.032018
222,25438,5869.016000,40.759193,-73.964349,0.032017
223,60625,5868.828000,40.759079,-73.964437,0.032016
224,64190,5784.490000,40.744632,-73.933572,0.031556
225,27899,5783.966000,40.744144,-73.933665,0.031553
226,35202,5783.444000,40.743702,-73.933757,0.031550
227,64119,5782.922000,40.743418,-73.933825,0.031547
228,36254,5782.400000,40.743330,-73.933846,0.031544
229,64118,5781.878000,40.743252,-73.933864,0.031541
230,58957,5781.358000,40.742966,-73.933929,0.031539
231,7032,5780.840000,40.742883,-73.933943,0.031536
232,58956,5780.322000,40.742798,-73.933957,0.031533
233,37936,5779.808000,40.741900,-73.934135,0.031530
234,58955,5779.298000,40.741122,-73.934294,0.031527
235,7082,5778.788000,40.741039,-73.934311,0.031525
236,58954,5778.280000,40.740947,-73.934329,0.031522
237,77251,5777.774000,40.740879,-73.934343,0.031519
238,77250,5777.268000,40.740647,-73.934390,0.031516
239,40013,5776.766000,40.740283,-73.934464,0.031514
240,6763,5776.430000,40.739691,-73.934585,0.031512
241,64123,5776.268000,40.739751,-73.934575,0.031511
242,36251,5662.866000,40.762715,-73.961561,0.030892
243,45245,5662.356000,40.763064,-73.962397,0.030889
244,60623,5660.386000,40.762130,-73.961949,0.030879
245,45248,5660.232000,40.762658,-73.961599,0.030878
246,2745,5347.069000,40.764367,-73.961607,0.029169
247,62338,5345.929000,40.763804,-73.962014,0.029163
248,52916,5345.771000,40.763968,-73.961895,0.029162
249,49731,5345.615000,40.764313,-73.961646,0.029161
250,2746,5305.163000,40.764992,-73.961144,0.028941
251,32296,5304.217000,40.764424,-73.961565,0.028936
252,32336,5304.057000,40.764896,-73.961213,0.028935
253,49306,5304.003000,40.764568,-73.961457,0.028934
254,44574,5303.789000,40.764680,-73.961375,0.028933
255,32301,5300.567000,40.764931,-73.961187,0.028916
256,1950,5300.531000,40.765616,-73.960689,0.028916
257,32299,5299.197000,40.765049,-73.961103,0.028908
258,55645,5298.995000,40.765561,-73.960728,0.028907
259,1061,5298.565000,40.766242,-73.960228,0.028905
260,55646,5298.243000,40.765678,-73.960644,0.028903
261,33862,5298.067000,40.765854,-73.960515,0.028902
262,36081,5297.893000,40.766186,-73.960270,0.028901
